# {'yi': 5, 'slope': 1.3e-05, 'Ymax': 1000, 'Froude': 0.02, 'n_points': 300, 'variables': 'p_u_v', 'flow': 'DATA/G.txt', 'mapping': ['semi_infinite_PB', [0, 3.3840579710144927]], 'Re': 157.922677, 'a_ast': 0.552, 'alpha': 0.56552, 'equation': 'LNS_CD', 'lc': 0.16739}
# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
5.5267e+01 6.3587e-10 1.7595e-09 1.8708e-09 -3.0878e-09 -1.9795e-09 3.6678e-09 -1.3247e-09 2.2436e-09 2.6055e-09 -9.3903e-11 -1.8043e-10 2.0341e-10 -7.0767e-11 3.9307e-10 3.9939e-10 5.3232e-10 7.6807e-10 9.3450e-10
5.2326e+01 -6.6045e-10 -1.8305e-09 1.9460e-09 3.2124e-09 2.0788e-09 3.8264e-09 1.3878e-09 -2.3509e-09 2.7299e-09 1.3734e-10 1.3159e-10 1.9020e-10 -5.7167e-11 -3.6971e-10 3.7411e-10 -5.5352e-10 -7.6690e-10 9.4579e-10
4.9679e+01 6.7968e-10 1.8872e-09 2.0059e-09 -3.3114e-09 -2.1676e-09 3.9577e-09 -1.4367e-09 2.4365e-09 2.8285e-09 -1.8521e-10 -7.3765e-11 1.9936e-10 2.0455e-10 3.3612e-10 3.9347e-10 5.6966e-10 7.5766e-10 9.4792e-10
4.7282e+01 -6.9483e-10 -1.9320e-09 2.0532e-09 3.3893e-09 2.2478e-09 4.0670e-09 1.4750e-09 -2.5006e-09 2.9032e-09 2.3713e-10 8.0317e-12 2.3727e-10 -3.6965e-10 -2.9264e-10 4.7147e-10 -5.8286e-10 -7.4112e-10 9.4286e-10
4.5101e+01 7.0516e-10 1.9676e-09 2.0902e-09 -3.4497e-09 -2.3219e-09 4.1583e-09 -1.5036e-09 2.5519e-09 2.9620e-09 -2.9265e-10 6.4571e-11 2.9969e-10 5.4909e-10 2.3961e-10 5.9910e-10 5.9282e-10 7.1882e-10 9.3174e-10
4.3109e+01 -7.1680e-10 -1.9945e-09 2.1193e-09 3.5004e-09 2.3876e-09 4.2372e-09 1.5269e-09 -2.5865e-09 3.0036e-09 3.5163e-10 -1.4367e-10 3.7985e-10 -7.4304e-10 -1.7697e-10 7.6383e-10 -6.0166e-10 -6.9427e-10 9.1869e-10
4.1281e+01 7.1427e-10 2.0185e-09 2.1412e-09 -3.5258e-09 -2.4729e-09 4.3066e-09 -1.5301e-09 2.6257e-09 3.0390e-09 -4.1353e-10 2.2759e-10 4.7202e-10 9.5031e-10 1.0469e-10 9.5606e-10 6.0858e-10 6.6537e-10 9.0171e-10
3.9598e+01 -7.4191e-10 -2.0291e-09 2.1605e-09 3.5783e-09 2.5075e-09 4.3694e-09 1.5771e-09 -2.6207e-09 3.0586e-09 4.7917e-10 -3.1902e-10 5.7565e-10 -1.1745e-09 -1.8185e-11 1.1746e-09 -6.1729e-10 -6.3738e-10 8.8730e-10
3.8043e+01 6.8822e-10 2.0578e-09 2.1698e-09 -3.5287e-09 -2.6758e-09 4.4285e-09 -1.4944e-09 2.7033e-09 3.0889e-09 -5.4603e-10 4.0971e-10 6.8265e-10 1.4022e-09 -7.4101e-11 1.4042e-09 6.1887e-10 5.9863e-10 8.6102e-10
3.6603e+01 -8.2098e-10 -2.0323e-09 2.1918e-09 3.6949e-09 2.5430e-09 4.4854e-09 1.7121e-09 -2.5613e-09 3.0808e-09 6.1983e-10 -5.1839e-10 8.0803e-10 -1.6647e-09 1.9638e-10 1.6762e-09 -6.3622e-10 -5.7972e-10 8.6073e-10
