# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
5.2326e+01 -9.1294e-08 -2.0846e-07 2.2758e-07 9.7557e-08 3.2357e-07 3.3796e-07 2.3605e-07 -7.1025e-08 2.4650e-07 2.8716e-07 -2.7938e-07 4.0064e-07 -3.7381e-07 4.6286e-07 5.9496e-07 3.3887e-07 2.7375e-07 4.3563e-07
4.9679e+01 9.4413e-08 2.1559e-07 2.3535e-07 -1.0089e-07 -3.3463e-07 3.4950e-07 -2.4549e-07 7.3855e-08 2.5636e-07 -2.8180e-07 2.7419e-07 3.9318e-07 3.6684e-07 -4.5425e-07 5.8388e-07 -3.3422e-07 -2.6999e-07 4.2965e-07
4.7282e+01 -9.6889e-08 -2.2124e-07 2.4153e-07 1.0353e-07 3.4341e-07 3.5868e-07 2.5280e-07 -7.6038e-08 2.6399e-07 2.7517e-07 -2.6776e-07 3.8394e-07 -3.5821e-07 4.4358e-07 5.7016e-07 3.2731e-07 2.6440e-07 4.2076e-07
4.5101e+01 9.8839e-08 2.2570e-07 2.4639e-07 -1.0562e-07 -3.5033e-07 3.6590e-07 -2.5837e-07 7.7696e-08 2.6980e-07 -2.6774e-07 2.6055e-07 3.7359e-07 3.4854e-07 -4.3163e-07 5.5479e-07 -3.1892e-07 -2.5761e-07 4.0997e-07
4.3109e+01 -1.0036e-07 -2.2919e-07 2.5020e-07 1.0724e-07 3.5574e-07 3.7155e-07 2.6255e-07 -7.8931e-08 2.7416e-07 2.5990e-07 -2.5295e-07 3.6267e-07 -3.3834e-07 4.1901e-07 5.3856e-07 3.0967e-07 2.5014e-07 3.9808e-07
4.1281e+01 1.0155e-07 2.3189e-07 2.5315e-07 -1.0851e-07 -3.5994e-07 3.7594e-07 -2.6563e-07 7.9835e-08 2.7736e-07 -2.5189e-07 2.4518e-07 3.5152e-07 3.2793e-07 -4.0614e-07 5.2200e-07 -3.0000e-07 -2.4232e-07 3.8564e-07
3.9598e+01 -1.0246e-07 -2.3399e-07 2.5544e-07 1.0948e-07 3.6320e-07 3.7934e-07 2.6782e-07 -8.0472e-08 2.7965e-07 2.4392e-07 -2.3745e-07 3.4041e-07 -3.1756e-07 3.9331e-07 5.0550e-07 2.9020e-07 2.3440e-07 3.7305e-07
3.8043e+01 1.0315e-07 2.3557e-07 2.5716e-07 -1.1022e-07 -3.6564e-07 3.8189e-07 -2.6938e-07 8.0915e-08 2.8127e-07 -2.3609e-07 2.2985e-07 3.2950e-07 3.0738e-07 -3.8071e-07 4.8931e-07 -2.8050e-07 -2.2656e-07 3.6057e-07
3.6603e+01 -1.0370e-07 -2.3683e-07 2.5854e-07 1.1080e-07 3.6760e-07 3.8394e-07 2.7030e-07 -8.1172e-08 2.8223e-07 2.2849e-07 -2.2249e-07 3.1892e-07 -2.9750e-07 3.6849e-07 4.7359e-07 2.7102e-07 2.1891e-07 3.4839e-07
3.5264e+01 1.0405e-07 2.3760e-07 2.5939e-07 -1.1117e-07 -3.6880e-07 3.8519e-07 -2.7110e-07 8.1368e-08 2.8304e-07 -2.2118e-07 2.1538e-07 3.0872e-07 2.8798e-07 -3.5670e-07 4.5844e-07 -2.6188e-07 -2.1150e-07 3.3662e-07
