# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
5.2326e+01 -1.3411e-07 -1.6528e-07 2.1285e-07 1.7946e-07 2.5923e-07 3.1528e-07 1.8730e-07 -1.2947e-07 2.2769e-07 -1.0538e-04 2.0240e-04 2.2819e-04 1.8821e-04 -3.4614e-04 3.9400e-04 -2.5134e-04 -1.3664e-04 2.8608e-04
4.9679e+01 1.4104e-07 1.7382e-07 2.2384e-07 -1.8872e-07 -2.7262e-07 3.3157e-07 -1.9923e-07 1.3770e-07 2.4218e-07 1.0518e-04 -2.0201e-04 2.2775e-04 -1.8785e-04 3.4547e-04 3.9324e-04 2.5355e-04 1.3784e-04 2.8859e-04
4.7282e+01 -1.4681e-07 -1.8094e-07 2.3300e-07 1.9644e-07 2.8377e-07 3.4513e-07 2.0904e-07 -1.4446e-07 2.5410e-07 -1.0418e-04 2.0008e-04 2.2558e-04 1.8606e-04 -3.4218e-04 3.8950e-04 -2.5299e-04 -1.3754e-04 2.8796e-04
4.5101e+01 1.5156e-07 1.8679e-07 2.4054e-07 -2.0280e-07 -2.9296e-07 3.5631e-07 -2.1699e-07 1.4993e-07 2.6375e-07 1.0258e-04 -1.9701e-04 2.2212e-04 -1.8321e-04 3.3693e-04 3.8352e-04 2.5035e-04 1.3610e-04 2.8495e-04
4.3109e+01 -1.5543e-07 -1.9158e-07 2.4670e-07 2.0798e-07 3.0046e-07 3.6542e-07 2.2334e-07 -1.5430e-07 2.7146e-07 -1.0057e-04 1.9315e-04 2.1776e-04 1.7961e-04 -3.3032e-04 3.7599e-04 -2.4621e-04 -1.3385e-04 2.8024e-04
4.1281e+01 1.5857e-07 1.9545e-07 2.5169e-07 -2.1219e-07 -3.0654e-07 3.7281e-07 -2.2837e-07 1.5775e-07 2.7755e-07 9.8274e-05 -1.8874e-04 2.1279e-04 -1.7552e-04 3.2278e-04 3.6742e-04 2.4104e-04 1.3103e-04 2.7436e-04
3.9598e+01 -1.6110e-07 -1.9857e-07 2.5571e-07 2.1557e-07 3.1144e-07 3.7876e-07 2.3229e-07 -1.6043e-07 2.8231e-07 -9.5812e-05 1.8401e-04 2.0746e-04 1.7112e-04 -3.1470e-04 3.5821e-04 -2.3521e-04 -1.2786e-04 2.6772e-04
3.8043e+01 1.6313e-07 2.0107e-07 2.5892e-07 -2.1828e-07 -3.1536e-07 3.8353e-07 -2.3532e-07 1.6249e-07 2.8597e-07 9.3260e-05 -1.7911e-04 2.0194e-04 -1.6656e-04 3.0632e-04 3.4867e-04 2.2898e-04 1.2447e-04 2.6062e-04
3.6603e+01 -1.6474e-07 -2.0306e-07 2.6149e-07 2.2043e-07 3.1848e-07 3.8733e-07 2.3763e-07 -1.6405e-07 2.8875e-07 -9.0681e-05 1.7416e-04 1.9635e-04 1.6196e-04 -2.9784e-04 3.3903e-04 -2.2256e-04 -1.2098e-04 2.5332e-04
3.5264e+01 1.6602e-07 2.0464e-07 2.6351e-07 -2.2214e-07 -3.2095e-07 3.9033e-07 -2.3935e-07 1.6520e-07 2.9082e-07 8.8115e-05 -1.6923e-04 1.9080e-04 -1.5737e-04 2.8942e-04 3.2944e-04 2.1610e-04 1.1747e-04 2.4596e-04
3.4016e+01 -1.6702e-07 -2.0588e-07 2.6511e-07 2.2348e-07 3.2290e-07 3.9269e-07 2.4059e-07 -1.6602e-07 2.9232e-07 -8.5595e-05 1.6439e-04 1.8534e-04 1.5287e-04 -2.8114e-04 3.2001e-04 -2.0970e-04 -1.1398e-04 2.3868e-04
3.2851e+01 1.6780e-07 2.0684e-07 2.6634e-07 -2.2452e-07 -3.2440e-07 3.9452e-07 -2.4148e-07 1.6659e-07 2.9337e-07 8.3140e-05 -1.5967e-04 1.8002e-04 -1.4849e-04 2.7307e-04 3.1083e-04 2.0343e-04 1.1058e-04 2.3154e-04
3.1759e+01 -1.6840e-07 -2.0759e-07 2.6731e-07 2.2533e-07 3.2559e-07 3.9595e-07 2.4204e-07 -1.6694e-07 2.9403e-07 -8.0763e-05 1.5511e-04 1.7487e-04 1.4424e-04 -2.6527e-04 3.0195e-04 -1.9735e-04 -1.0727e-04 2.2462e-04
3.0735e+01 1.6884e-07 2.0813e-07 2.6800e-07 -2.2591e-07 -3.2643e-07 3.9698e-07 -2.4243e-07 1.6715e-07 2.9447e-07 7.8472e-05 -1.5071e-04 1.6991e-04 -1.4015e-04 2.5774e-04 2.9338e-04 1.9148e-04 1.0407e-04 2.1793e-04
2.9772e+01 -1.6920e-07 -2.0859e-07 2.6859e-07 2.2639e-07 3.2716e-07 3.9785e-07 2.4252e-07 -1.6719e-07 2.9456e-07 -7.6272e-05 1.4648e-04 1.6515e-04 1.3622e-04 -2.5051e-04 2.8515e-04 -1.8583e-04 -1.0100e-04 2.1151e-04
2.8865e+01 1.6939e-07 2.0879e-07 2.6886e-07 -2.2664e-07 -3.2747e-07 3.9824e-07 -2.4269e-07 1.6722e-07 2.9473e-07 7.4164e-05 -1.4243e-04 1.6058e-04 -1.3246e-04 2.4359e-04 2.7727e-04 1.8043e-04 9.8060e-05 2.0535e-04
2.8008e+01 -1.6965e-07 -2.0918e-07 2.6933e-07 2.2698e-07 3.2808e-07 3.9894e-07 2.4231e-07 -1.6698e-07 2.9427e-07 -7.2147e-05 1.3856e-04 1.5622e-04 1.2885e-04 -2.3696e-04 2.6973e-04 -1.7526e-04 -9.5251e-05 1.9948e-04
2.7198e+01 1.6955e-07 2.0894e-07 2.6908e-07 -2.2686e-07 -3.2772e-07 3.9857e-07 -2.4269e-07 1.6706e-07 2.9463e-07 7.0219e-05 -1.3486e-04 1.5204e-04 -1.2541e-04 2.3063e-04 2.6252e-04 1.7034e-04 9.2570e-05 1.9387e-04
2.6431e+01 -1.6995e-07 -2.0964e-07 2.6988e-07 2.2736e-07 3.2880e-07 3.9975e-07 2.4147e-07 -1.6639e-07 2.9324e-07 -6.8379e-05 1.3132e-04 1.4806e-04 1.2212e-04 -2.2458e-04 2.5564e-04 -1.6564e-04 -9.0017e-05 1.8852e-04
2.5704e+01 1.6933e-07 2.0853e-07 2.6862e-07 -2.2658e-07 -3.2708e-07 3.9789e-07 -2.4291e-07 1.6693e-07 2.9474e-07 6.6622e-05 -1.2795e-04 1.4425e-04 -1.1899e-04 2.1881e-04 2.4907e-04 1.6118e-04 8.7585e-05 1.8344e-04
