# {'yi': 5, 'equation': 'LNS_CD', 'flow': 'DATA/G.txt', 'mapping': ['semi_infinite_PB', [0, 3.3840579710144927]], 'Re': 157.922677, 'Froude': 0.02, 'lc': 0.16739, 'Ymax': 1000, 'variables': 'p_u_v', 'n_points': 300, 'alpha': 0.56552, 'slope': 1.3e-05}
# eigv_re    eigv_im    eigv_re_adj    eigv_im_adj
7.4180e-01 -1.1950e+01 7.4180e-01 1.1950e+01
7.4412e-01 -1.1634e+01 7.4412e-01 1.1634e+01
7.4633e-01 -1.1326e+01 7.4633e-01 1.1326e+01
7.4841e-01 -1.1027e+01 7.4841e-01 1.1027e+01
7.5044e-01 -1.0736e+01 7.5044e-01 1.0736e+01
7.5240e-01 -1.0453e+01 7.5239e-01 1.0453e+01
7.5439e-01 -1.0177e+01 7.5439e-01 1.0177e+01
7.5641e-01 -9.9095e+00 7.5640e-01 9.9095e+00
7.5838e-01 -9.6487e+00 7.5838e-01 9.6487e+00
7.6032e-01 -9.3948e+00 7.6032e-01 9.3948e+00
7.6208e-01 -9.1475e+00 7.6208e-01 9.1475e+00
7.6371e-01 -8.9068e+00 7.6371e-01 8.9068e+00
7.6531e-01 -8.6725e+00 7.6530e-01 8.6725e+00
7.6685e-01 -8.4444e+00 7.6685e-01 8.4444e+00
7.6852e-01 -8.2223e+00 7.6851e-01 8.2223e+00
7.7027e-01 -8.0058e+00 7.7027e-01 8.0058e+00
7.7196e-01 -7.7948e+00 7.7196e-01 7.7948e+00
7.7362e-01 -7.5891e+00 7.7361e-01 7.5891e+00
7.7512e-01 -7.3885e+00 7.7511e-01 7.3885e+00
7.7639e-01 -7.1932e+00 7.7638e-01 7.1932e+00
7.7765e-01 -7.0030e+00 7.7765e-01 7.0030e+00
7.7896e-01 -6.8176e+00 7.7895e-01 6.8176e+00
7.8026e-01 -6.6370e+00 7.8026e-01 6.6370e+00
7.8174e-01 -6.4610e+00 7.8173e-01 6.4610e+00
7.8331e-01 -6.2892e+00 7.8330e-01 6.2892e+00
7.8470e-01 -6.1215e+00 7.8470e-01 6.1215e+00
7.8604e-01 -5.9581e+00 7.8603e-01 5.9581e+00
7.8737e-01 -5.7986e+00 7.8737e-01 5.7986e+00
7.8849e-01 -5.6431e+00 7.8849e-01 5.6431e+00
7.8950e-01 -5.4916e+00 7.8949e-01 5.4916e+00
7.9065e-01 -5.3440e+00 7.9065e-01 5.3440e+00
7.9176e-01 -5.1999e+00 7.9175e-01 5.1999e+00
7.9269e-01 -5.0595e+00 7.9268e-01 5.0595e+00
7.9378e-01 -4.9227e+00 7.9377e-01 4.9227e+00
7.9510e-01 -4.7892e+00 7.9509e-01 4.7892e+00
7.9631e-01 -4.6588e+00 7.9631e-01 4.6588e+00
7.9749e-01 -4.5318e+00 7.9749e-01 4.5318e+00
7.9894e-01 -4.4078e+00 7.9893e-01 4.4078e+00
8.0033e-01 -4.2864e+00 8.0033e-01 4.2864e+00
8.0120e-01 -4.1678e+00 8.0119e-01 4.1678e+00
8.0176e-01 -4.0525e+00 8.0175e-01 4.0525e+00
8.0243e-01 -3.9402e+00 8.0242e-01 3.9402e+00
8.0296e-01 -3.8305e+00 8.0295e-01 3.8305e+00
8.0312e-01 -3.7240e+00 8.0312e-01 3.7240e+00
8.0368e-01 -3.6210e+00 8.0367e-01 3.6210e+00
8.0532e-01 -3.5204e+00 8.0531e-01 3.5204e+00
8.0729e-01 -3.4215e+00 8.0729e-01 3.4214e+00
8.0880e-01 -3.3245e+00 8.0879e-01 3.3245e+00
8.1018e-01 -3.2300e+00 8.1017e-01 3.2300e+00
8.1187e-01 -3.1376e+00 8.1186e-01 3.1376e+00
8.1323e-01 -3.0466e+00 8.1322e-01 3.0466e+00
8.1338e-01 -2.9576e+00 8.1337e-01 2.9576e+00
8.1253e-01 -2.8718e+00 8.1253e-01 2.8718e+00
8.1208e-01 -2.7894e+00 8.1208e-01 2.7894e+00
8.1268e-01 -2.7091e+00 8.1268e-01 2.7091e+00
8.1304e-01 -2.6303e+00 8.1303e-01 2.6303e+00
8.1272e-01 -2.5543e+00 8.1271e-01 2.5543e+00
8.1403e-01 -2.4818e+00 8.1400e-01 2.4818e+00
8.1771e-01 -2.4097e+00 8.1769e-01 2.4097e+00
8.2086e-01 -2.3367e+00 8.2085e-01 2.3367e+00
8.2189e-01 -2.2648e+00 8.2189e-01 2.2648e+00
8.2134e-01 -2.1959e+00 8.2135e-01 2.1959e+00
8.2159e-01 -2.1306e+00 8.2159e-01 2.1306e+00
8.2391e-01 -2.0663e+00 8.2390e-01 2.0663e+00
8.2591e-01 -2.0012e+00 8.2590e-01 2.0012e+00
8.2540e-01 -1.9366e+00 8.2539e-01 1.9366e+00
8.2111e-01 -1.8752e+00 8.2109e-01 1.8751e+00
8.1721e-01 -1.8230e+00 8.1716e-01 1.8230e+00
8.2359e-01 -1.7709e+00 8.2357e-01 1.7710e+00
8.2880e-01 -1.7123e+00 8.2880e-01 1.7124e+00
8.2971e-01 -1.6527e+00 8.2973e-01 1.6527e+00
8.2567e-01 -1.5918e+00 8.2573e-01 1.5919e+00
7.9419e-01 -1.5576e+00 7.9409e-01 1.5573e+00
8.2785e-01 -1.5213e+00 8.2782e-01 1.5214e+00
8.3340e-01 -1.4636e+00 8.3339e-01 1.4637e+00
8.3390e-01 -1.4070e+00 8.3390e-01 1.4070e+00
7.9364e-01 -1.3721e+00 7.9369e-01 1.3719e+00
8.3772e-01 -1.3465e+00 8.3767e-01 1.3465e+00
8.4473e-01 -1.2942e+00 8.4469e-01 1.2942e+00
8.4883e-01 -1.2455e+00 8.4881e-01 1.2455e+00
8.5106e-01 -1.1987e+00 8.5104e-01 1.1987e+00
8.5174e-01 -1.1534e+00 8.5173e-01 1.1534e+00
5.1698e-01 -9.1350e-01 5.1696e-01 9.1350e-01
3.5521e-01 -5.4689e-01 3.5502e-01 5.4687e-01
8.5053e-01 -1.1092e+00 8.5053e-01 1.1092e+00
8.4364e-01 -1.0659e+00 8.4364e-01 1.0658e+00
8.3838e-01 -1.0462e+00 8.3821e-01 1.0463e+00
8.5320e-01 -1.0095e+00 8.5320e-01 1.0095e+00
8.5835e-01 -9.6991e-01 8.5834e-01 9.6995e-01
8.6138e-01 -9.3170e-01 8.6138e-01 9.3173e-01
8.6336e-01 -8.9469e-01 8.6336e-01 8.9472e-01
8.6461e-01 -8.5877e-01 8.6462e-01 8.5880e-01
8.6527e-01 -8.2377e-01 8.6528e-01 8.2381e-01
4.8329e-01 -2.8201e-01 4.8330e-01 2.8251e-01
8.6541e-01 -7.8941e-01 8.6543e-01 7.8946e-01
8.6549e-01 -7.5511e-01 8.6549e-01 7.5517e-01
8.1629e-01 -7.3726e-01 8.1637e-01 7.3683e-01
8.6704e-01 -7.2119e-01 8.6701e-01 7.2124e-01
5.5943e-01 7.1915e-03 5.6015e-01 -6.7029e-03
8.6957e-01 -6.8960e-01 8.6955e-01 6.8962e-01
8.7175e-01 -6.5999e-01 8.7173e-01 6.6001e-01
8.7344e-01 -6.3174e-01 8.7342e-01 6.3175e-01
8.7473e-01 -6.0457e-01 8.7473e-01 6.0458e-01
8.7573e-01 -5.7833e-01 8.7574e-01 5.7834e-01
8.7652e-01 -5.5292e-01 8.7654e-01 5.5293e-01
8.7720e-01 -5.2826e-01 8.7722e-01 5.2828e-01
8.7787e-01 -5.0431e-01 8.7789e-01 5.0433e-01
7.9864e-01 -4.7403e-01 7.9786e-01 4.7397e-01
8.7866e-01 -4.8110e-01 8.7869e-01 4.8113e-01
8.7964e-01 -4.5874e-01 8.7966e-01 4.5879e-01
6.6728e-01 -1.8300e-01 6.6976e-01 1.8353e-01
8.8071e-01 -4.3733e-01 8.8073e-01 4.3738e-01
8.8180e-01 -4.1685e-01 8.8181e-01 4.1691e-01
7.6261e-01 -3.3690e-01 8.8284e-01 3.9731e-01
8.8284e-01 -3.9725e-01 7.6196e-01 3.3487e-01
8.8382e-01 -3.7845e-01 8.8382e-01 3.7852e-01
8.8475e-01 -3.6043e-01 8.8473e-01 3.6049e-01
8.8562e-01 -3.4315e-01 8.8560e-01 3.4321e-01
8.8646e-01 -3.2658e-01 8.8643e-01 3.2664e-01
8.8724e-01 -3.1070e-01 8.8721e-01 3.1075e-01
8.8798e-01 -2.9549e-01 8.8795e-01 2.9553e-01
8.8867e-01 -2.8091e-01 8.8863e-01 2.8095e-01
8.8930e-01 -2.6695e-01 8.8926e-01 2.6698e-01
8.8988e-01 -2.5357e-01 8.8984e-01 2.5360e-01
8.9042e-01 -2.4076e-01 8.9038e-01 2.4078e-01
8.9091e-01 -2.2849e-01 8.9087e-01 2.2851e-01
8.9135e-01 -2.1674e-01 8.9132e-01 2.1675e-01
8.9176e-01 -2.0549e-01 8.9173e-01 2.0550e-01
8.9213e-01 -1.9472e-01 8.9210e-01 1.9472e-01
8.9247e-01 -1.8441e-01 8.9244e-01 1.8441e-01
8.9279e-01 -1.7455e-01 8.9276e-01 1.7455e-01
8.9307e-01 -1.6512e-01 8.9305e-01 1.6512e-01
8.9333e-01 -1.5610e-01 8.9331e-01 1.5610e-01
