# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
5.1780e+01 2.9113e-06 -7.8761e-07 3.0159e-06 -4.3411e-06 8.8712e-07 4.4308e-06 6.3008e-07 3.1186e-06 3.1816e-06 -4.6227e-04 3.7416e-04 5.9472e-04 6.9872e-04 -5.8307e-04 9.1004e-04 -4.2138e-04 -5.0472e-04 6.5750e-04
4.9103e+01 -3.0796e-06 8.3307e-07 3.1903e-06 4.5921e-06 -9.3829e-07 4.6870e-06 -6.7526e-07 -3.3445e-06 3.4120e-06 4.6471e-04 -3.7613e-04 5.9785e-04 -7.0240e-04 5.8613e-04 9.1483e-04 4.2917e-04 5.1405e-04 6.6965e-04
4.6677e+01 3.2223e-06 -8.7159e-07 3.3381e-06 -4.8049e-06 9.8164e-07 4.9041e-06 7.1299e-07 3.5342e-06 3.6054e-06 -4.6330e-04 3.7498e-04 5.9604e-04 7.0028e-04 -5.8434e-04 9.1205e-04 -4.3188e-04 -5.1730e-04 6.7388e-04
4.4468e+01 -3.3417e-06 9.0383e-07 3.4618e-06 4.9830e-06 -1.0179e-06 5.0859e-06 -7.4396e-07 -3.6912e-06 3.7654e-06 4.5892e-04 -3.7142e-04 5.9039e-04 -6.9365e-04 5.7880e-04 9.0341e-04 4.3062e-04 5.1579e-04 6.7192e-04
4.2446e+01 3.4408e-06 -9.3054e-07 3.5644e-06 -5.1307e-06 1.0480e-06 5.2366e-06 7.6901e-07 3.8195e-06 3.8962e-06 -4.5234e-04 3.6609e-04 5.8192e-04 6.8370e-04 -5.7048e-04 8.9045e-04 -4.2639e-04 -5.1072e-04 6.6531e-04
4.0589e+01 -3.5223e-06 9.5252e-07 3.6488e-06 5.2522e-06 -1.0727e-06 5.3606e-06 -7.8899e-07 -3.9233e-06 4.0018e-06 4.4419e-04 -3.5948e-04 5.7143e-04 -6.7139e-04 5.6019e-04 8.7440e-04 4.2000e-04 5.0305e-04 6.5533e-04
3.8878e+01 3.5890e-06 -9.7048e-07 3.7179e-06 -5.3516e-06 1.0929e-06 5.4621e-06 8.0470e-07 4.0064e-06 4.0864e-06 -4.3501e-04 3.5203e-04 5.5960e-04 6.5750e-04 -5.4858e-04 8.5630e-04 -4.1211e-04 -4.9360e-04 6.4302e-04
3.7294e+01 -3.6433e-06 9.8510e-07 3.7741e-06 5.4326e-06 -1.1093e-06 5.5447e-06 -8.1685e-07 -4.0724e-06 4.1535e-06 4.2517e-04 -3.4406e-04 5.4694e-04 -6.4263e-04 5.3616e-04 8.3693e-04 4.0324e-04 4.8296e-04 6.2917e-04
3.5825e+01 3.6872e-06 -9.9694e-07 3.8196e-06 -5.4982e-06 1.1226e-06 5.6116e-06 8.2607e-07 4.1244e-06 4.2063e-06 -4.1500e-04 3.3582e-04 5.3385e-04 6.2726e-04 -5.2331e-04 8.1689e-04 -3.9378e-04 -4.7163e-04 6.1441e-04
3.4457e+01 -3.7227e-06 1.0065e-06 3.8564e-06 5.5511e-06 -1.1333e-06 5.6656e-06 -8.3288e-07 -4.1649e-06 4.2473e-06 4.0471e-04 -3.2748e-04 5.2060e-04 -6.1170e-04 5.1032e-04 7.9662e-04 3.8403e-04 4.5994e-04 5.9918e-04
3.3180e+01 3.7512e-06 -1.0141e-06 3.8859e-06 -5.5935e-06 1.1419e-06 5.7089e-06 8.3773e-07 4.1960e-06 4.2788e-06 -3.9447e-04 3.1918e-04 5.0743e-04 5.9623e-04 -4.9739e-04 7.7646e-04 -3.7420e-04 -4.4816e-04 5.8385e-04
3.1985e+01 -3.7740e-06 1.0202e-06 3.9094e-06 5.6275e-06 -1.1487e-06 5.7435e-06 -8.4099e-07 -4.2197e-06 4.3027e-06 3.8440e-04 -3.1102e-04 4.9447e-04 -5.8101e-04 4.8467e-04 7.5662e-04 3.6446e-04 4.3648e-04 5.6863e-04
3.0865e+01 3.7920e-06 -1.0251e-06 3.9281e-06 -5.6543e-06 1.1541e-06 5.7709e-06 8.4293e-07 4.2373e-06 4.3203e-06 -3.7458e-04 3.0306e-04 4.8183e-04 5.6617e-04 -4.7227e-04 7.3728e-04 -3.5490e-04 -4.2502e-04 5.5372e-04
2.9812e+01 -3.8062e-06 1.0289e-06 3.9428e-06 5.6755e-06 -1.1584e-06 5.7925e-06 -8.4384e-07 -4.2501e-06 4.3330e-06 3.6506e-04 -2.9534e-04 4.6957e-04 -5.5178e-04 4.6024e-04 7.1853e-04 3.4561e-04 4.1389e-04 5.3921e-04
2.8820e+01 3.8171e-06 -1.0318e-06 3.9541e-06 -5.6919e-06 1.1617e-06 5.8092e-06 8.4386e-07 4.2591e-06 4.3419e-06 -3.5588e-04 2.8790e-04 4.5776e-04 5.3790e-04 -4.4865e-04 7.0045e-04 -3.3664e-04 -4.0313e-04 5.2520e-04
2.7883e+01 -3.8256e-06 1.0341e-06 3.9629e-06 5.7045e-06 -1.1641e-06 5.8221e-06 -8.4327e-07 -4.2649e-06 4.3474e-06 3.4706e-04 -2.8075e-04 4.4639e-04 -5.2456e-04 4.3750e-04 6.8306e-04 3.2801e-04 3.9278e-04 5.1173e-04
2.6998e+01 3.8317e-06 -1.0358e-06 3.9693e-06 -5.7136e-06 1.1661e-06 5.8314e-06 8.4193e-07 4.2686e-06 4.3509e-06 -3.3860e-04 2.7389e-04 4.3550e-04 5.1177e-04 -4.2681e-04 6.6639e-04 -3.1974e-04 -3.8287e-04 4.9883e-04
2.6159e+01 -3.8366e-06 1.0369e-06 3.9743e-06 5.7209e-06 -1.1671e-06 5.8387e-06 -8.4054e-07 -4.2698e-06 4.3518e-06 3.3050e-04 -2.6732e-04 4.2508e-04 -4.9953e-04 4.1658e-04 6.5044e-04 3.1185e-04 3.7340e-04 4.8649e-04
2.5363e+01 3.8391e-06 -1.0380e-06 3.9769e-06 -5.7246e-06 1.1685e-06 5.8427e-06 8.3799e-07 4.2710e-06 4.3524e-06 -3.2276e-04 2.6105e-04 4.1511e-04 4.8784e-04 -4.0680e-04 6.3520e-04 -3.0432e-04 -3.6437e-04 4.7474e-04
2.4607e+01 -3.8422e-06 1.0379e-06 3.9800e-06 5.7292e-06 -1.1681e-06 5.8471e-06 -8.3662e-07 -4.2685e-06 4.3497e-06 3.1537e-04 -2.5505e-04 4.0560e-04 -4.7667e-04 3.9747e-04 6.2064e-04 2.9715e-04 3.5577e-04 4.6354e-04
2.3887e+01 3.8411e-06 -1.0393e-06 3.9792e-06 -5.7277e-06 1.1701e-06 5.8459e-06 8.3232e-07 4.2700e-06 4.3504e-06 -3.0833e-04 2.4934e-04 3.9653e-04 4.6602e-04 -3.8856e-04 6.0676e-04 -2.9033e-04 -3.4760e-04 4.5290e-04
2.3201e+01 -3.8451e-06 1.0375e-06 3.9826e-06 5.7334e-06 -1.1671e-06 5.8509e-06 -8.3260e-07 -4.2625e-06 4.3431e-06 3.0161e-04 -2.4388e-04 3.8787e-04 -4.5586e-04 3.8007e-04 5.9351e-04 2.8385e-04 3.3983e-04 4.4278e-04
2.2546e+01 3.8382e-06 -1.0405e-06 3.9767e-06 -5.7236e-06 1.1721e-06 5.8423e-06 8.2451e-07 4.2693e-06 4.3482e-06 -2.9520e-04 2.3869e-04 3.7962e-04 4.4617e-04 -3.7197e-04 5.8088e-04 -2.7771e-04 -3.3245e-04 4.3318e-04
2.1920e+01 -3.8480e-06 1.0351e-06 3.9848e-06 5.7375e-06 -1.1631e-06 5.8542e-06 -8.3007e-07 -4.2514e-06 4.3317e-06 2.8909e-04 -2.3373e-04 3.7175e-04 -4.3693e-04 3.6424e-04 5.6884e-04 2.7187e-04 3.2545e-04 4.2406e-04
2.1321e+01 3.8291e-06 -1.0432e-06 3.9687e-06 -5.7106e-06 1.1767e-06 5.8305e-06 8.1291e-07 4.2736e-06 4.3502e-06 -2.8327e-04 2.2900e-04 3.6425e-04 4.2813e-04 -3.5688e-04 5.5737e-04 -2.6633e-04 -3.1880e-04 4.1542e-04
2.0747e+01 -3.8554e-06 1.0292e-06 3.9904e-06 5.7477e-06 -1.1538e-06 5.8624e-06 -8.3202e-07 -4.2314e-06 4.3124e-06 2.7771e-04 -2.2449e-04 3.5710e-04 -4.1973e-04 3.4986e-04 5.4642e-04 2.6108e-04 3.1250e-04 4.0721e-04
2.0197e+01 3.8098e-06 -1.0498e-06 3.9518e-06 -5.6828e-06 1.1881e-06 5.8057e-06 7.9376e-07 4.2910e-06 4.3638e-06 -2.7242e-04 2.2019e-04 3.5028e-04 4.1173e-04 -3.4316e-04 5.3598e-04 -2.5610e-04 -3.0652e-04 3.9943e-04
1.9669e+01 -3.8747e-06 1.0169e-06 4.0059e-06 5.7749e-06 -1.1337e-06 5.8852e-06 -8.4409e-07 -4.1934e-06 4.2775e-06 2.6736e-04 -2.1609e-04 3.4377e-04 -4.0409e-04 3.3676e-04 5.2602e-04 2.5138e-04 3.0086e-04 3.9205e-04
1.9161e+01 3.7711e-06 -1.0652e-06 3.9186e-06 -5.6275e-06 1.2141e-06 5.7569e-06 7.5954e-07 4.3355e-06 4.4016e-06 -2.6254e-04 2.1217e-04 3.3756e-04 3.9680e-04 -3.3066e-04 5.1651e-04 -2.4691e-04 -2.9548e-04 3.8506e-04
1.8673e+01 -3.9193e-06 9.9176e-07 4.0428e-06 5.8380e-06 -1.0927e-06 5.9394e-06 -8.7674e-07 -4.1198e-06 4.2120e-06 2.5794e-04 -2.0843e-04 3.3163e-04 -3.8984e-04 3.2484e-04 5.0744e-04 2.4266e-04 2.9038e-04 3.7843e-04
1.8202e+01 3.6960e-06 -1.0979e-06 3.8556e-06 -5.5204e-06 1.2687e-06 5.6643e-06 6.9642e-07 4.4324e-06 4.4868e-06 -2.5355e-04 2.0486e-04 3.2597e-04 3.8320e-04 -3.1927e-04 4.9877e-04 -2.3864e-04 -2.8555e-04 3.7214e-04
1.7749e+01 -4.0124e-06 9.4293e-07 4.1217e-06 5.9702e-06 -1.0123e-06 6.0554e-06 -9.4841e-07 -3.9780e-06 4.0895e-06 2.4935e-04 -2.0145e-04 3.2056e-04 -3.7685e-04 3.1396e-04 4.9050e-04 2.3482e-04 2.8097e-04 3.6618e-04
1.7312e+01 3.5547e-06 -1.1623e-06 3.7399e-06 -5.3193e-06 1.3760e-06 5.4943e-06 5.8034e-07 4.6247e-06 4.6610e-06 -2.4534e-04 1.9819e-04 3.1539e-04 3.7079e-04 -3.0888e-04 4.8259e-04 -2.3122e-04 -2.7663e-04 3.6054e-04
1.6889e+01 -4.1932e-06 8.5163e-07 4.2788e-06 6.2269e-06 -8.6164e-07 6.2862e-06 -1.0902e-06 -3.7132e-06 3.8700e-06 2.4151e-04 -1.9508e-04 3.1046e-04 -3.6500e-04 3.0403e-04 4.7504e-04 2.2779e-04 2.7251e-04 3.5518e-04
1.6481e+01 3.2977e-06 -1.2827e-06 3.5384e-06 -4.9535e-06 1.5759e-06 5.1982e-06 3.7148e-07 4.9833e-06 4.9971e-06 -2.3784e-04 1.9209e-04 3.0572e-04 3.5945e-04 -2.9938e-04 4.6779e-04 -2.2456e-04 -2.6862e-04 3.5012e-04
1.6087e+01 -4.5248e-06 6.8739e-07 4.5767e-06 6.6981e-06 -5.9013e-07 6.7240e-06 -1.3527e-06 -3.2360e-06 3.5073e-06 2.3435e-04 -1.8924e-04 3.0122e-04 -3.5416e-04 2.9495e-04 4.6090e-04 2.2147e-04 2.6492e-04 3.4530e-04
1.5705e+01 2.8459e-06 -1.4973e-06 3.2157e-06 -4.3108e-06 1.9319e-06 4.7239e-06 6.3968e-09 5.6210e-06 5.6210e-06 -2.3098e-04 1.8650e-04 2.9687e-04 3.4908e-04 -2.9067e-04 4.5425e-04 -2.1859e-04 -2.6144e-04 3.4078e-04
1.5335e+01 -5.1059e-06 4.0260e-07 5.1217e-06 7.5239e-06 -1.1890e-07 7.5248e-06 -1.8148e-06 -2.4062e-06 3.0139e-06 2.2779e-04 -1.8390e-04 2.9276e-04 -3.4425e-04 2.8663e-04 4.4795e-04 2.1581e-04 2.5811e-04 3.3644e-04
1.4977e+01 2.0777e-06 -1.8650e-06 2.7919e-06 -3.2182e-06 2.5414e-06 4.1007e-06 -6.1237e-07 6.7108e-06 6.7387e-06 -2.2470e-04 1.8137e-04 2.8876e-04 3.3957e-04 -2.8269e-04 4.4184e-04 -2.1325e-04 -2.5501e-04 3.3242e-04
1.4629e+01 -6.0855e-06 -7.4824e-08 6.0860e-06 8.9165e-06 6.7144e-07 8.9417e-06 -2.5958e-06 -1.0122e-06 2.7862e-06 2.2178e-04 -1.7901e-04 2.8501e-04 -3.3516e-04 2.7901e-04 4.3609e-04 2.1074e-04 2.5201e-04 3.2852e-04
1.4292e+01 8.1173e-07 -2.4734e-06 2.6032e-06 -1.4180e-06 3.5498e-06 3.8225e-06 -1.6301e-06 8.5109e-06 8.6656e-06 -2.1893e-04 1.7666e-04 2.8132e-04 3.3085e-04 -2.7535e-04 4.3044e-04 -2.0850e-04 -2.4927e-04 3.2497e-04
1.3964e+01 -7.6829e-06 -8.5079e-07 7.7299e-06 1.1187e-05 1.9563e-06 1.1357e-05 -3.8713e-06 1.2576e-06 4.0704e-06 2.1627e-04 -1.7452e-04 2.7790e-04 -3.2683e-04 2.7201e-04 4.2522e-04 2.0622e-04 2.4656e-04 3.2143e-04
1.3646e+01 -1.2149e-06 -3.4499e-06 3.6575e-06 1.4637e-06 5.1676e-06 5.3709e-06 -3.2575e-06 1.1395e-05 1.1852e-05 -2.1363e-04 1.7232e-04 2.7447e-04 3.2283e-04 -2.6860e-04 4.1996e-04 -2.0428e-04 -2.4416e-04 3.1835e-04
1.3337e+01 -1.0212e-05 -2.0770e-06 1.0421e-05 1.4783e-05 3.9871e-06 1.5311e-05 -5.8923e-06 4.8490e-06 7.6310e-06 2.1122e-04 -1.7040e-04 2.7138e-04 -3.1919e-04 2.6560e-04 4.1524e-04 2.0218e-04 2.4171e-04 3.1513e-04
1.3036e+01 -4.3743e-06 -4.9742e-06 6.6240e-06 5.9561e-06 7.6929e-06 9.7291e-06 -5.7927e-06 1.5893e-05 1.6915e-05 -2.0875e-04 1.6831e-04 2.6815e-04 3.1545e-04 -2.6236e-04 4.1029e-04 -2.0057e-04 -2.3965e-04 3.1251e-04
1.2743e+01 -1.4111e-05 -3.9658e-06 1.4658e-05 2.0327e-05 7.1154e-06 2.1536e-05 -9.0107e-06 1.0386e-05 1.3750e-05 2.0658e-04 -1.6661e-04 2.6540e-04 -3.1217e-04 2.5971e-04 4.0608e-04 1.9860e-04 2.3741e-04 3.0953e-04
1.2458e+01 -9.1819e-06 -7.2957e-06 1.1728e-05 1.2792e-05 1.1539e-05 1.7227e-05 -9.6485e-06 2.2737e-05 2.4699e-05 -2.0425e-04 1.6461e-04 2.6232e-04 3.0864e-04 -2.5658e-04 4.0137e-04 -1.9733e-04 -2.3569e-04 3.0739e-04
1.2180e+01 -1.9983e-05 -6.8082e-06 2.1111e-05 2.8675e-05 1.1823e-05 3.1017e-05 -1.3708e-05 1.8725e-05 2.3207e-05 2.0233e-04 -1.6315e-04 2.5991e-04 -3.0574e-04 2.5431e-04 3.9768e-04 1.9543e-04 2.3361e-04 3.0458e-04
1.1909e+01 -1.6338e-05 -1.0753e-05 1.9559e-05 2.2966e-05 1.7265e-05 2.8732e-05 -1.5386e-05 3.2922e-05 3.6340e-05 -2.0009e-04 1.6116e-04 2.5692e-04 3.0235e-04 -2.5122e-04 3.9310e-04 -1.9455e-04 -2.3226e-04 3.0298e-04
1.1644e+01 -2.8638e-05 -1.0996e-05 3.0676e-05 4.0980e-05 1.8760e-05 4.5070e-05 -2.0634e-05 3.1017e-05 3.7254e-05 1.9843e-04 -1.5998e-04 2.5489e-04 -2.9984e-04 2.4937e-04 3.8999e-04 1.9263e-04 2.3027e-04 3.0022e-04
1.1386e+01 -2.6775e-05 -1.5797e-05 3.1087e-05 3.7806e-05 2.5620e-05 4.5669e-05 -2.3752e-05 4.7777e-05 5.3355e-05 -1.9623e-04 1.5794e-04 2.5189e-04 2.9651e-04 -2.4621e-04 3.8540e-04 -1.9222e-04 -2.2934e-04 2.9924e-04
1.1135e+01 -4.1147e-05 -1.7047e-05 4.4538e-05 5.8765e-05 2.8783e-05 6.5436e-05 -3.0646e-05 4.8786e-05 5.7613e-05 1.9487e-04 -1.5708e-04 2.5030e-04 -2.9444e-04 2.4487e-04 3.8296e-04 1.9017e-04 2.2736e-04 2.9640e-04
1.0889e+01 -4.1719e-05 -2.3020e-05 4.7649e-05 5.9054e-05 3.7586e-05 7.0000e-05 -3.5728e-05 6.9043e-05 7.7740e-05 -1.9263e-04 1.5491e-04 2.4719e-04 2.9107e-04 -2.4149e-04 3.7821e-04 -1.9033e-04 -2.2690e-04 2.9616e-04
1.0649e+01 -5.8906e-05 -2.5637e-05 6.4243e-05 8.4016e-05 4.3011e-05 9.4386e-05 -4.4863e-05 7.4016e-05 8.6551e-05 1.9161e-04 -1.5446e-04 2.4612e-04 -2.8952e-04 2.4079e-04 3.7657e-04 1.8800e-04 2.2484e-04 2.9308e-04
1.0414e+01 -6.2756e-05 -3.3190e-05 7.0992e-05 8.8965e-05 5.4431e-05 1.0430e-04 -5.2586e-05 9.8976e-05 1.1208e-04 -1.8927e-04 1.5204e-04 2.4277e-04 2.8599e-04 -2.3703e-04 3.7144e-04 -1.8889e-04 -2.2496e-04 2.9374e-04
1.0184e+01 -8.3711e-05 -3.7633e-05 9.1782e-05 1.1928e-04 6.2882e-05 1.3484e-04 -6.4722e-05 1.0926e-04 1.2699e-04 1.8866e-04 -1.5211e-04 2.4234e-04 -2.8505e-04 2.3712e-04 3.7079e-04 1.8609e-04 2.2268e-04 2.9019e-04
9.9595e+00 -9.1911e-05 -4.7285e-05 1.0336e-04 1.3042e-04 7.7779e-05 1.5185e-04 -7.5946e-05 1.4045e-04 1.5967e-04 -1.8610e-04 1.4929e-04 2.3858e-04 2.8120e-04 -2.3275e-04 3.6502e-04 -1.8791e-04 -2.2350e-04 2.9200e-04
9.7397e+00 -1.1784e-04 -5.4137e-05 1.2968e-04 1.6780e-04 9.0219e-05 1.9052e-04 -9.2045e-05 1.5775e-04 1.8264e-04 1.8600e-04 -1.5002e-04 2.3896e-04 -2.8102e-04 2.3387e-04 3.6561e-04 1.8439e-04 2.2083e-04 2.8769e-04
9.5245e+00 -1.3174e-04 -6.6539e-05 1.4759e-04 1.8704e-04 1.0967e-04 2.1682e-04 -1.0785e-04 1.9711e-04 2.2468e-04 -1.8309e-04 1.4661e-04 2.3455e-04 2.7664e-04 -2.2858e-04 3.5886e-04 -1.8743e-04 -2.2255e-04 2.9096e-04
9.3138e+00 -1.6414e-04 -7.6528e-05 1.8110e-04 2.3364e-04 1.2731e-04 2.6607e-04 -1.2912e-04 2.2355e-04 2.5816e-04 1.8363e-04 -1.4821e-04 2.3598e-04 -2.7742e-04 2.3105e-04 3.6104e-04 1.8285e-04 2.1927e-04 2.8551e-04
9.1074e+00 -1.8541e-04 -9.2492e-05 2.0720e-04 2.6336e-04 1.5266e-04 3.0441e-04 -1.5086e-04 2.7346e-04 3.1231e-04 -1.8019e-04 1.4396e-04 2.3064e-04 2.7226e-04 -2.2447e-04 3.5286e-04 -1.8747e-04 -2.2212e-04 2.9066e-04
8.9051e+00 -2.2616e-04 -1.0652e-04 2.4999e-04 3.2182e-04 1.7698e-04 3.6727e-04 -1.7878e-04 3.1170e-04 3.5933e-04 1.8154e-04 -1.4669e-04 2.3340e-04 -2.7426e-04 2.2868e-04 3.5709e-04 1.8143e-04 2.1796e-04 2.8359e-04
8.7068e+00 -2.5687e-04 -1.2704e-04 2.8657e-04 3.6495e-04 2.0989e-04 4.2101e-04 -2.0810e-04 3.7509e-04 4.2895e-04 -1.7736e-04 1.4129e-04 2.2676e-04 2.6798e-04 -2.2031e-04 3.4692e-04 -1.8810e-04 -2.2224e-04 2.9116e-04
8.5124e+00 -3.0824e-04 -1.4621e-04 3.4116e-04 4.3852e-04 2.4273e-04 5.0121e-04 -2.4451e-04 4.2835e-04 4.9323e-04 1.7975e-04 -1.4549e-04 2.3125e-04 -2.7155e-04 2.2679e-04 3.5380e-04 1.8006e-04 2.1684e-04 2.8186e-04
8.3218e+00 -3.5090e-04 -1.7251e-04 3.9101e-04 4.9865e-04 2.8520e-04 5.7445e-04 -2.8343e-04 5.0883e-04 5.8245e-04 -1.7455e-04 1.3853e-04 2.2284e-04 2.6374e-04 -2.1603e-04 3.4093e-04 -1.8938e-04 -2.2297e-04 2.9254e-04
8.1347e+00 -4.1566e-04 -1.9815e-04 4.6048e-04 5.9125e-04 3.2877e-04 6.7651e-04 -3.3053e-04 5.8104e-04 6.6848e-04 1.7827e-04 -1.4462e-04 2.2956e-04 -2.6930e-04 2.2543e-04 3.5120e-04 1.7866e-04 2.1589e-04 2.8022e-04
7.9511e+00 -4.7331e-04 -2.3170e-04 5.2698e-04 6.7270e-04 3.8324e-04 7.7421e-04 -3.8149e-04 6.8293e-04 7.8226e-04 -1.7170e-04 1.3562e-04 2.1880e-04 2.5945e-04 -2.1151e-04 3.3474e-04 -1.9139e-04 -2.2435e-04 2.9490e-04
7.7709e+00 -5.5479e-04 -2.6543e-04 6.1502e-04 7.8907e-04 4.4021e-04 9.0355e-04 -4.4195e-04 7.7880e-04 8.9546e-04 1.7712e-04 -1.4415e-04 2.2836e-04 -2.6755e-04 2.2467e-04 3.4937e-04 1.7715e-04 2.1502e-04 2.7860e-04
